InteractorA,InteractorB,Label
Q92878,O76064,1
Q8LPR5,Q9MAH8,1
Q8GYA6,Q9SEI3,1
Q13616,Q8WWB3,0
Q8RXD6,P25865,1
Q68CZ1,Q9P0K7,1
Q9P2W3,O95487,0
Q2HIM5,Q9C7C1,1
O24410,Q8L9Y3,1
Q15287,Q9Y4J8,0
Q39023,Q9ZSI7,1
P23246,Q92769,1
Q99623,Q86VP1,0
Q9HCC8,P04350,0
Q15287,O60306,1
Q15393,Q9Y6G3,0
Q93VH6,Q8S9M3,1
O14880,Q09013,0
O24633,Q9C5U3,1
P42695,P43307,1
P37108,Q9ULJ1,0
Q96A37,Q9UDY2,0
O04017,Q9LQF0,1
Q15406,P60903,0
Q92888,P61218,0
Q96502,Q8W420,1
Q9T014,Q9ZTC3,1
P53803,Q9GZS1,1
Q8H174,O24407,1
O96024,Q9BXJ8,0
Q13526,P56945,0
Q8LGU6,Q8LPL5,1
Q5VWQ8,P30622,1
Q9Y2T3,Q92973,0
O14880,Q9NWZ3,0
Q9BZL4,P62308,0
Q9Y421,Q8NCD3,0
Q9Y234,O96013,0
Q39163,Q39163,1
P43235,Q96M11,0
P12036,P49257,0
P19525,Q15723,1
Q9NWF9-3,P63220,0
P49257,P80192,0
Q7Z2W4,Q9NW13,1
P62341,Q15286,0
P09960,Q96B86,0
P27707,O43772,0
P49590,Q8IZU3,0
Q9BVG4,Q9H5F2,0
O00151,P32121,0
Q9UM54,O43809,0
Q9BTV5,Q99624,0
Q99549,Q9NV31,1
P30260,Q92597,0
Q9UER7,P49959,1
Q9FGV1,Q38826,1
Q96JB5,Q9BVK6,1
Q96EY7,Q96K62,0
P55072,P46934,0
P09960,Q99584,0
Q676U5,Q9Y4P3,1
O95271,Q9BYZ2,0
Q8N122,P56945,0
P04843,Q9Y5K6,0
Q8H1D7,Q680Q4,1
P36406,Q9BVG8,1
O15127,Q99567,0
Q4G0J3,P51991,1
Q96T76,Q8IYE1,0
Q3ZCQ8,P39748,0
P08238,Q9UM11,0
Q00059,O75400,0
P27144,Q8NCU7,0
Q9BYD3,O75127,1
Q16659,P18206,0
Q12788,O75078,0
O95347,Q8IV36,0
Q9NQW6,Q9HC77,0
C0LGP2,Q9M9C5,1
Q13526,Q8N5F7,0
Q9LT89,Q8LAT0,1
Q96PU5,Q6FII1,0
Q8N129,P61970,0
O00268,Q15393,1
P60660,P52815,0
Q93034,Q14181,0
P68104,O15145,0
P22234,P05305,0
Q9LP46,O04719,1
Q96LJ8,Q9BZE9,1
P14866,Q07912,1
O15155,Q9BW83,0
Q02241,Q13835,0
Q9BVS4,Q00059,1
Q92990,O95466,0
P68104,Q9NPH0,0
P59998,Q09019,0
Q9BWU1,Q9NVR5,0
P54105,Q96EW2,0
Q86XS8,Q15388,0
P50542,Q08426,1
Q42340,Q9ZUT9,1
Q96R06,P15090,0
O75828,P62820,0
Q01629,Q8IYB7,0
Q0P6H9,O14569,0
Q13426,Q99755,0
Q96DW6,Q9UK32,0
Q8N129,Q9UGY1,0
P51665,Q96FC9,0
P32456,Q9UNZ2,0
O65674,Q9LU90,1
Q96CS2,Q14203,0
O76094,Q00653,0
P07948,P14317,1
Q07352,P20042,0
Q08379,O95487,1
P46108,Q9NZL4,1
Q8GWP0,Q9LM84,1
Q96P50,P36543,0
Q9Y574,Q9H0N5,0
P78362,Q76FK4,1
Q15836,Q15397,0
O75821,Q8N3E9,0
Q13107,Q8TAF3,1
Q9UKN8,Q676U5,0
Q92769,P61201,0
P04629,Q9NZ52,1
Q9LVL4,Q9SW80,1
Q9NSC5,Q9BWG6,1
Q8H116,Q38869,1
Q9NY33,Q96BK8,0
Q86XP3,Q14181,1
Q9SW80,Q9SJ56,1
Q9SAD4,Q9LEZ3,1
Q96QF0,Q96G25,0
Q8N157,Q9Y2K2,0
Q9FGP8,Q9SIT9,1
Q9HDC9,Q96GD4,0
Q14684,Q9NWH9,1
O43660,P06753,0
O00231,O95758,0
O75807,Q12800,0
P07858,Q08945,0
Q8L7F7,O22224,1
Q8WUA4,Q13616,0
Q9FFB7,P43287,1
Q8LPR5,Q93ZE2,1
Q96TC7,Q14974,0
Q9SQI2,Q9FZK0,1
Q8NB37,Q13216,0
O95219,Q9BYM8,0
Q8N6D5,Q9UJ41,1
Q9NVJ2,P11166,0
Q99615,P53992,1
O96017,Q9Y3F4,1
Q39085,Q9C821,1
Q8WVR3,P19387,0
Q9NR56,P12036,1
Q1PDV2,Q8VYA5,1
P0DPB3,Q96G01,1
P38886,Q9SII8,1
Q9Y294,O00267,0
P36957,P51149,1
P78545,P35251,0
Q8IYP9,Q16610,0
Q39026,Q38829,1
Q9H7U1,Q8NG27,0
Q9M9H6,Q1EC66,1
P01374,Q68CZ1,0
Q05397,Q6ZMU5,1
Q3ECW2,Q9SCR2,1
Q14596,Q15645,1
P53803,Q6IQ23,0
Q6ZMZ3,Q86XL3,1
P51955,O00212,0
O00231,Q9BXB5,0
Q86Y07,Q13164,0
Q13418,P58340,0
Q9Y6K9,Q15020,0
Q9GZS1,P07910,0
Q8S307,Q8RW96,1
Q9BYM8,P14866,0
Q9ULJ6,P68400,0
Q9NQ34,Q8NDZ2,0
Q99615,Q15269,1
P78362,P52732,1
Q9SZX9,Q9CAV0,1
P14373,Q13526,1
P0DH95,Q9FGX2,1
Q8L8A5,Q9FG68,1
O00212,P47756,1
Q3KP44,Q15758,1
P04629,Q13627,1
Q9FIF5,Q8H1R0,1
Q99436,O43255,0
Q13616,Q12904,1
Q14974,O75943,0
P48731,Q8VZ91,1
Q6ZN54,O75943,1
Q9NRC8,Q9GZQ8,0
P55060,Q08116,0
Q9M352,Q42064,1
Q9NZ43,Q9NPH2,1
Q8GWF1,Q8H0Y8,1
P61962,Q9NQP4,1
Q39241,Q9M021,1
O95817,Q86WT6,1
Q9LY46,Q8RWW0,1
Q13618,P36776,0
Q13618,P61026,1
O15294,P30566,1
P23416,P84101,0
Q99436,P09466,0
Q15029,P04264,1
O15169,Q08752,0
Q9HC07,Q16630,0
P17980,P20264,0
P19367,Q9ULC4,0
Q8LBP4,O80842,1
P55852,Q94C59,1
O00273,P23921,0
P36507,Q92769,0
Q9NYB9,Q96CN9,1
Q9UKV3,Q96CV9,0
Q6T4P5,Q96BK8,0
P53152,Q94A97,1
P50995,Q15119,0
Q6IQ22,Q96CV9,1
Q14203,P46734,1
O43312,Q14318,0
Q96CV9,Q9NQW6,0
Q8L5U0,Q9T0H2,1
Q10567,Q7Z3B4,1
Q9NTG7,Q15424,0
Q9LMA8,Q9LQT8,1
Q6UXB0,Q8TBC4,0
P00540,Q86SQ0,0
Q13627,O75132,0
Q6P2H3,Q4G0J3,0
Q39024,Q9FVU0,1
Q8L8A5,Q9S7W5,1
Q5JTZ9,P27144,1
O14744,P14678,1
Q08379,O60341,1
Q9C7D7,Q94BY6,1
P47897,P17152,0
P09466,Q8ND90,0
Q9SEL6,P93654,1
Q96PU5,Q99759,1
Q9C0C7,P49720,1
O23212,Q42404,1
Q86UY6,Q92878,1
Q9H0M0,Q7Z6J0,0
Q9HCU9,P42677,0
Q9P2D0,Q9H074,0
O14974,Q8NBJ4,0
Q9NYG5,Q86UW9,1
Q96276,P46607,1
Q9NQW7,P18124,0
Q9CAD0,Q9XGN1,1
Q93015,O60885,0
P49321,Q9UMR2,0
P54819,P42229,0
Q9LVU1,Q9SLK2,1
Q8N465,Q9ULW0,0
Q13561,Q9UI12,1
Q9NVX0,Q96QD9,0
O22467,O22467,1
O14678,Q6ICP4,0
P19174,P02008,0
Q7Z5L9,Q9Y333,0
P42679,P04629,1
Q9LNT9,Q9STX3,1
Q969R8,Q9UGL9,0
Q12981,O43264,1
P36406,Q96A44,0
O43583,Q8IW50,0
O60832,P60033,0
Q13561,O15496,0
Q14240,Q15121,0
P22736,P05109,0
Q92993,Q9HB07,1
Q9NX46,P27824,0
Q13617,Q9BQA1,1
Q7Z2W4,P08581,0
Q9SK22,O80646,1
P93024,O24408,1
Q9Y572,O95235,0
Q9SI20,Q84WM9,1
O00154,Q9H4P4,1
O75127,Q15029,0
P43307,P36542,1
Q9BXM7,Q9Y383,0
Q39102,Q01525,1
Q9FIW5,O24410,1
Q9LSY0,Q84W80,1
Q8IWR0,P62310,0
Q63ZY3,Q8NHQ1,1
